"Age","Gender","HCCI_category","HCCI_subcategory","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"0-3","Female","IP","All Inpatient",2014,2203.73,114.133,10834.21,203.405,0,0,0
"0-3","Female","IP","All Inpatient",2015,2426.95,115.862,11566.52,209.825,0.101,0.068,0.032
"0-3","Female","IP","All Inpatient",2016,2568.36,126.127,11551.85,222.333,0.058,-0.001,0.06
"0-3","Female","IP","All Inpatient",2017,2592.02,134.019,11403.74,227.296,0.009,-0.013,0.022
"0-3","Female","IP","Hospice",2014,0.78,0.054,7419.88,0.105,0,0,0
"0-3","Female","IP","Hospice",2015,0.88,0.056,7619.84,0.115,0.126,0.027,0.097
"0-3","Female","IP","Hospice",2016,0.72,0.083,8847.09,0.081,-0.177,0.161,-0.292
"0-3","Female","IP","Hospice",2017,0.71,0.037,9505.95,0.075,-0.008,0.074,-0.077
"0-3","Female","IP","Labor/Delivery/Newborns",2014,1542.58,92.96,8580.91,179.769,0,0,0
"0-3","Female","IP","Labor/Delivery/Newborns",2015,1664.58,93.323,8917.07,186.673,0.079,0.039,0.038
"0-3","Female","IP","Labor/Delivery/Newborns",2016,1705.33,104.338,8559.39,199.235,0.024,-0.04,0.067
"0-3","Female","IP","Labor/Delivery/Newborns",2017,1750.45,111.92,8420.08,207.89,0.026,-0.016,0.043
"0-3","Female","IP","Medical",2014,332.15,18.091,17445.19,19.04,0,0,0
"0-3","Female","IP","Medical",2015,399.32,19.266,20598.26,19.386,0.202,0.181,0.018
"0-3","Female","IP","Medical",2016,412.9,18.808,22070.55,18.708,0.034,0.071,-0.035
"0-3","Female","IP","Medical",2017,418.44,18.702,23585.7,17.741,0.013,0.069,-0.052
"0-3","Female","IP","Mental Health",2014,0.62,0.041,14679,0.042,0,0,0
"0-3","Female","IP","Mental Health",2015,0.98,0.062,10870.6,0.09,0.574,-0.259,1.126
"0-3","Female","IP","Mental Health",2016,0.8,0.062,14438.15,0.056,-0.177,0.328,-0.381
"0-3","Female","IP","Mental Health",2017,1.05,0.049,17034.36,0.062,0.311,0.18,0.111
"0-3","Female","IP","Other",2014,0.59,0.168,2509.02,0.235,0,0,0
"0-3","Female","IP","Other",2015,5.9,0.225,18226.99,0.323,8.978,6.265,0.373
"0-3","Female","IP","Other",2016,1.22,0.094,6019.67,0.202,-0.793,-0.67,-0.374
"0-3","Female","IP","Other",2017,3.16,0.156,14860.63,0.213,1.595,1.469,0.051
"0-3","Female","IP","SNF",2014,0.68,0.022,16200.32,0.042,0,0,0
"0-3","Female","IP","SNF",2015,0.27,0.033,2577.82,0.104,-0.604,-0.841,1.486
"0-3","Female","IP","SNF",2016,0.4,0.052,4331.14,0.092,0.481,0.68,-0.118
"0-3","Female","IP","SNF",2017,0.93,0.019,30556.88,0.03,1.337,6.055,-0.669
"0-3","Female","IP","Substance Use",2014,0.33,0.001,240785.13,0.001,0,0,0
"0-3","Female","IP","Substance Use",2016,0.02,0,3398.17,0.007,0,0,0
"0-3","Female","IP","Substance Use",2017,0.05,0.003,14263.16,0.003,1.019,3.197,-0.519
"0-3","Female","IP","Surgical",2014,326.01,2.796,78163.5,4.171,0,0,0
"0-3","Female","IP","Surgical",2015,355.03,2.898,88194.69,4.026,0.089,0.128,-0.035
"0-3","Female","IP","Surgical",2016,446.97,2.69,99865.67,4.476,0.259,0.132,0.112
