"plan_type","HCCI_category","HCCI_subcategory","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"CDHP","Inpatient","All Inpatient",2014,"888.316","60.691","17,675.11","50.258",0,0,0
"CDHP","Inpatient","All Inpatient",2015,"904.453","59.763","18,281.85","49.473",0.018,0.034,-0.016
"CDHP","Inpatient","All Inpatient",2016,"956.342","56.989","18,951.62","50.462",0.057,0.037,0.02
"CDHP","Inpatient","All Inpatient",2017,"991.411","57.16","19,624.08","50.52",0.037,0.035,0.001
"CDHP","Inpatient","Hospice",2014,"1.576","0.17","4,972.80","0.317",0,0,0
"CDHP","Inpatient","Hospice",2015,"1.58","0.167","4,784.16","0.33",0.003,-0.038,0.042
"CDHP","Inpatient","Hospice",2016,"1.494","0.18","4,534.82","0.329",-0.055,-0.052,-0.003
"CDHP","Inpatient","Hospice",2017,"1.686","0.184","5,515.33","0.306",0.128,0.216,-0.072
"CDHP","Inpatient","Labor/Delivery/Newborns",2014,"158.87","22.353","8,526.25","18.633",0,0,0
"CDHP","Inpatient","Labor/Delivery/Newborns",2015,"165.258","22.294","8,777.82","18.827",0.04,0.03,0.01
"CDHP","Inpatient","Labor/Delivery/Newborns",2016,"175.807","22.499","9,057.79","19.409",0.064,0.032,0.031
"CDHP","Inpatient","Labor/Delivery/Newborns",2017,"181.211","23.085","9,075.51","19.967",0.031,0.002,0.029
"CDHP","Inpatient","Medical",2014,"250.665","17.45","16,938.35","14.799",0,0,0
"CDHP","Inpatient","Medical",2015,"255.785","16.927","17,697.58","14.453",0.02,0.045,-0.023
"CDHP","Inpatient","Medical",2016,"260.484","15.473","18,331.43","14.21",0.018,0.036,-0.017
"CDHP","Inpatient","Medical",2017,"268.836","15.059","19,134.05","14.05",0.032,0.044,-0.011
"CDHP","Inpatient","Mental Health",2014,"21.811","3.266","8,277.20","2.635",0,0,0
"CDHP","Inpatient","Mental Health",2015,"22.199","3.163","8,630.87","2.572",0.018,0.043,-0.024
"CDHP","Inpatient","Mental Health",2016,"23.669","3.162","8,993.83","2.632",0.066,0.042,0.023
"CDHP","Inpatient","Mental Health",2017,"27.198","3.435","9,352.07","2.908",0.149,0.04,0.105
"CDHP","Inpatient","Other",2014,"1.125","0.181","7,338.09","0.153",0,0,0
"CDHP","Inpatient","Other",2015,"1.118","0.177","7,168.34","0.156",-0.006,-0.023,0.017
"CDHP","Inpatient","Other",2016,"1.359","0.19","8,945.51","0.152",0.216,0.248,-0.025
"CDHP","Inpatient","Other",2017,"1.347","0.204","8,174.59","0.165",-0.009,-0.086,0.085
