"Year","cbsa_title","state","geo_level","metric_type","moment","service_category","service","index_name","index_value","index_change"
2014,"State-AK","AK","State","Index","Mean","Inpatient","Basket","Use",-0.25970304,-0.2113748
2015,"State-AK","AK","State","Index","Mean","Inpatient","Basket","Use",-0.2713421,-0.24272275
2016,"State-AK","AK","State","Index","Mean","Inpatient","Basket","Use",-0.27996889,-0.25937524
2017,"State-AK","AK","State","Index","Mean","Inpatient","Basket","Use",-0.35886234,-0.2951912
2014,"State-AR","AR","State","Index","Mean","Inpatient","Basket","Use",0.0059642512,-0.035100952
2015,"State-AR","AR","State","Index","Mean","Inpatient","Basket","Use",-0.036762089,-0.098637588
2016,"State-AR","AR","State","Index","Mean","Inpatient","Basket","Use",0.014568111,-0.060357146
2017,"State-AR","AR","State","Index","Mean","Inpatient","Basket","Use",-0.031520925,-0.04138349
2014,"State-AZ","AZ","State","Index","Mean","Inpatient","Basket","Use",0.033727463,-0.058946706
2015,"State-AZ","AZ","State","Index","Mean","Inpatient","Basket","Use",-0.022961572,-0.13226652
2016,"State-AZ","AZ","State","Index","Mean","Inpatient","Basket","Use",-0.067278601,-0.18013492
2017,"State-AZ","AZ","State","Index","Mean","Inpatient","Basket","Use",-0.029188914,-0.087992892
2014,"State-CA","CA","State","Index","Mean","Inpatient","Basket","Use",-0.2777141,-0.027907226
2015,"State-CA","CA","State","Index","Mean","Inpatient","Basket","Use",-0.2746813,-0.047655653
2016,"State-CA","CA","State","Index","Mean","Inpatient","Basket","Use",-0.22951911,0.0012504596
2017,"State-CA","CA","State","Index","Mean","Inpatient","Basket","Use",-0.23235121,0.066145502
2014,"State-CO","CO","State","Index","Mean","Inpatient","Basket","Use",-0.066511452,-0.067896903
2015,"State-CO","CO","State","Index","Mean","Inpatient","Basket","Use",-0.081764646,-0.10550996
2016,"State-CO","CO","State","Index","Mean","Inpatient","Basket","Use",-0.084691539,-0.11752033
